

RELATIVE TOLERANCE = 6.8190e-08

 ITERATION NO.        RELATIVE RESIDUAL
      37                 3.2530e-03
      38                 3.1885e-03
      39                 3.1549e-03
      40                 3.1539e-03
      41                 3.1285e-03
      42                 3.1161e-03
      43                 3.1161e-03
      44                 3.0774e-03
      45                 2.8921e-03
      46                 2.8143e-03
      47                 2.8131e-03
      48                 2.7832e-03
      49                 2.7114e-03
      50                 2.6233e-03
      51                 2.6232e-03
      52                 2.4964e-03
      53                 2.4550e-03
      54                 2.4063e-03
      55                 2.0942e-03
      56                 1.5950e-03
      57                 1.4228e-03
      58                 1.4195e-03
      59                 1.1330e-03
      60                 7.9004e-04
      61                 5.6629e-04
      62                 4.8719e-04
      63                 4.8375e-04
      64                 4.6132e-04
      65                 3.4847e-04
      66                 2.4753e-04
      67                 2.1303e-04
      68                 2.1218e-04
      69                 1.7532e-04
      70                 1.2157e-04
      71                 9.7510e-05
      72                 9.2489e-05
      73                 9.0411e-05
      74                 7.2608e-05
      75                 5.0928e-05
      76                 3.4073e-05
      77                 2.2861e-05
      78                 1.7509e-05
      79                 1.6061e-05
      80                 1.6047e-05
      81                 1.4068e-05
      82                 9.8855e-06
      83                 6.2025e-06
      84                 3.9428e-06
      85                 2.3015e-06
      86                 1.3426e-06
      87                 7.9314e-07
      88                 4.4001e-07
      89                 2.7245e-07
      90                 2.0342e-07
      91                 1.9288e-07
      92                 1.8940e-07
      93                 1.5440e-07
      94                 9.7933e-08
      95                 5.4650e-08
      96                 3.0974e-08
      97                 1.7145e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 2.3330e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 1.1147e+00
       2                 3.2018e-01
       3                 1.7175e-01
       4                 1.3655e-01
       5                 9.9065e-02
       6                 6.8762e-02
       7                 5.4806e-02
       8                 5.4806e-02
       9                 5.0602e-02
      10                 3.5242e-02
      11                 2.5502e-02
      12                 2.0453e-02
      13                 1.6913e-02
      14                 1.6564e-02
      15                 1.5460e-02
      16                 1.2454e-02
      17                 1.1768e-02
      18                 1.1729e-02
      19                 1.0238e-02
      20                 8.6476e-03
      21                 7.3672e-03
      22                 7.2843e-03
      23                 7.1315e-03
      24                 6.3515e-03
      25                 6.1295e-03
      26                 5.9893e-03
      27                 5.2277e-03
      28                 4.9719e-03
      29                 4.9690e-03
      30                 4.3980e-03
      31                 3.4978e-03
      32                 3.4268e-03
      33                 3.2593e-03
      34                 3.0361e-03
      35                 2.9261e-03
      36                 2.9154e-03
      37                 2.8876e-03
      38                 2.8303e-03
      39                 2.8004e-03
      40                 2.7995e-03
      41                 2.7770e-03
      42                 2.7660e-03
      43                 2.7659e-03
      44                 2.7313e-03
      45                 2.5672e-03
      46                 2.4980e-03
      47                 2.4970e-03
      48                 2.4696e-03
      49                 2.4062e-03
      50                 2.3285e-03
      51                 2.3285e-03
      52                 2.2160e-03
      53                 2.1792e-03
      54                 2.1360e-03
      55                 1.8591e-03
      56                 1.4162e-03
      57                 1.2632e-03
      58                 1.2603e-03
      59                 1.0058e-03
      60                 7.0133e-04
      61                 5.0265e-04
      62                 4.3242e-04
      63                 4.2936e-04
      64                 4.0947e-04
      65                 3.0932e-04
      66                 2.1981e-04
      67                 1.8933e-04
      68                 1.8854e-04
      69                 1.5568e-04
      70                 1.0792e-04
      71                 8.6557e-05
      72                 8.2099e-05
      73                 8.0256e-05
      74                 6.4455e-05
      75                 4.5210e-05
      76                 3.0248e-05
      77                 2.0296e-05
      78                 1.5545e-05
      79                 1.4259e-05
      80                 1.4247e-05
      81                 1.2489e-05
      82                 8.7753e-06
      83                 5.5055e-06
      84                 3.5000e-06
      85                 2.0429e-06
      86                 1.1917e-06
      87                 7.0393e-07
      88                 3.9055e-07
      89                 2.4182e-07
      90                 1.8055e-07
      91                 1.7119e-07
      92                 1.6810e-07
      93                 1.3704e-07
      94                 8.6925e-08
      95                 4.8507e-08
      96                 2.7491e-08
      97                 1.5216e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***

